variable,coeficiente,odds_ratio,magnitud
purpose_small_business,0.7564329683531523,2.130662508796786,0.7564329683531523
addr_state_VT,-0.6641077580361496,0.5147325888953227,0.6641077580361496
addr_state_WY,-0.6038584539685993,0.5466981516719742,0.6038584539685993
emp_length_Sin información,0.5085645139994858,1.6629024076942893,0.5085645139994858
addr_state_NH,-0.47233851390162895,0.6235423994168829,0.47233851390162895
purpose_wedding,-0.4581249214972426,0.632468462364925,0.4581249214972426
addr_state_DC,-0.42776752064697315,0.6519629651102165,0.42776752064697315
purpose_medical,0.40313721629822485,1.496512223443376,0.40313721629822485
addr_state_HI,-0.38894713753418375,0.6777700976656129,0.38894713753418375
term,0.38813032351256227,1.4742218975454167,0.38813032351256227
addr_state_LA,0.3823077329925609,1.4656630486172666,0.3823077329925609
purpose_vacation,0.34163066804117365,1.4072404626475876,0.34163066804117365
addr_state_WV,-0.3257850238828493,0.7219603749884607,0.3257850238828493
addr_state_MT,-0.30406108584417346,0.7378157949733101,0.30406108584417346
addr_state_SC,-0.3020115326420253,0.7393295384174603,0.3020115326420253
addr_state_KS,-0.29747999920372015,0.7426874374123692,0.29747999920372015
tot_hi_cred_lim,-0.2855492469986388,0.7516013261574217,0.2855492469986388
addr_state_OR,-0.2827410847861927,0.753714910855765,0.2827410847861927
purpose_renewable_energy,0.2685797035607678,1.3081052335206844,0.2685797035607678
addr_state_CO,-0.25581880600665413,0.7742822513757874,0.25581880600665413
